Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Fahrenheit 451,Ray Bradbury,"",9781451673319,paperback,read,2026/01/27,2026/01/27,2025/12-2026/01/27,1,"",,"","","","","",3.5,,"","","",Yes
Beauty and Sadness,Yasunari Kawabata,Howard Hibbett (Translator),9780679761051,paperback,read,2026/02/26,2026/02/26,2026/02/25-2026/02/26,1,"",,"","","","","",3.75,"","","","",No
Một câu chuyện từ những đụn cát,Hans Christian Andersen,Cao An Vũ,9786043835540,paperback,to-read,2026/04/10,"","",0,"",,,,,,,,,"",,"",No
The Metamorphosis,Franz Kafka,Stanley Corngold (Translator),9780553213690,paperback,read,2026/02/20,2025,2025-2025,1,"",,"","","","","",4.0,,"","","",No
The Stranger,Albert Camus,Matthew Ward (Translator),9780881032475,hardcover,read,2026/02/20,2026/03/19,2026/03/18-2026/03/19,1,"",,"","","","","",5.0,"","","","",No
Panenka,Rónán Hession,"",9781910422670,hardcover,read,2026/01/27,"","",1,"",,,,,,,,,"",,"",No
Big Breasts and Wide Hips,Mo Yan,Howard Goldblatt (Translator),9781559706728,hardcover,to-read,2026/03/17,"","",0,"",,,,,,,,,"",,"",No
Dune,Frank Herbert,"",9780593099322,hardcover,read,2026/01/27,2026/02/25,2026/01/27-2026/02/25,1,"",,"","","","","",4.25,,"","","",Yes
Tứ Thư,Yan Lianke,"Diêm Liên Khoa, Châu Hải Đường",9786045363430,paperback,read,2026/04/03,2026/04/09,2026/04/06-2026/04/09,1,"dark, reflective, sad, tense",medium,Character,Yes,It's complicated,Yes,Yes,4.5,,"","","",No
The Firm,John Grisham,"",9780099830009,paperback,read,2026/01/27,"","",1,"",,"","","","","",3.75,"","","","",No
Deadhouse Gates,Steven Erikson,"",9780765310026,hardcover,to-read,2026/04/10,"","",0,"",,,,,,,,,"",,"",No
Gardens of the Moon,Steven Erikson,"",9780765348784,paperback,read,2026/01/27,2026/02/13,2026/01/27-2026/02/13,1,"",,"","","","","",5.0,"","","","",No
Dungeon Crawler Carl,Matt Dinniman,"",9780593820247,hardcover,to-read,2026/03/24,"","",0,"",,,,,,,,,"",,"",No
Meditations,Marcus Aurelius,Martin Hammond (Translator),9780140449334,paperback,read,2026/01/29,2026/02/08,2026/01/29-2026/02/08,1,"",,,,,,,4.0,"","","","",No
The Brief and Frightening Reign of Phil,George Saunders,"",9781594481529,paperback,read,2026/02/17,2026/02/17,2026/02/16-2026/02/17,1,"",,"","","","","",5.0,"","","","",Yes
Of Mice and Men,John Steinbeck,Susan Shillinglaw (Contributor),9780140186420,paperback,read,2026/03/05,2025/12,2025/12-2025/12,1,"",,,,,,,,,"",,"",No
White Nights: The Novels of Fyodor Dostoevsky,Fyodor Dostoevsky,Constance Garnett (Translator),9781523606184,paperback,read,2026/01/27,2026/01,2026/01,1,"",,"","","","","",3.5,,"","","",No
1984,George Orwell,"",9781328869333,hardcover,did-not-finish,2026/01/27,"","",0,"",,,,,,,,,"",,"",Yes
Ngày Tháng Năm,"Minh Thương, Yan Lianke, Diêm Liên Khoa",Yan Lianke (Translator),,paperback,read,2026/03/15,2026/03/15,2026/03/13-2026/03/15,1,"challenging, dark, hopeful, inspiring, sad, tense",slow,Character,Yes,Yes,Yes,Yes,3.75,,"","","",No
A Man Called Ove,Fredrik Backman,Henning Koch (Translator),9781476738017,hardcover,read,2026/01/27,"","",1,"",,"","","","","",4.75,"","","","",No
Man's Search for Meaning,Viktor E. Frankl,"Harold S. Kushner (Contributor), William J. Winslade (Contributor), Isle Lasch (Translator)",9780807014295,paperback,read,2026/03/05,2026/03/05,2026/03/02-2026/03/05,1,"",,,,,,,5.0,"","","","",Yes
Đinh Trang Mộng,Yan Lianke,"Minh Thương, Diêm Liên Khoa",9786045359907,paperback,read,2026/03/13,2026/03/13,2026/03/07-2026/03/13,1,"",,"","","","","",5.0,"","","","",No
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"",9781473537804,digital,currently-reading,2026/04/10,"","",0,"",,,,,,,,,"",,"",No
Piranesi,Susanna Clarke,"",9781635575637,hardcover,read,2026/01/27,"","",1,"",,,,,,,,,"",,"",No
Wuthering Heights,Emily Brontë,"",0393978893,paperback,to-read,2026/02/20,"","",1,"",,,,,,,,,"",,"",No
The Count of Monte Cristo,Alexandre Dumas,Robin Buss (Translator),9780140449266,paperback,to-read,2026/02/20,"","",0,"",,,,,,,,,"",,"",No
Mộc thần nữ,Hans Christian Andersen,Cao An Vũ,9786043835557,paperback,to-read,2026/03/31,"","",0,"",,,,,,,,,"",,"",Yes
Montaigne,Stefan Zweig,"","",digital,read,2026/04/03,2026/04/05,2026/04/04-2026/04/05,1,"",,,,,,,4.25,"","","","",No
The Alchemist,Paulo Coelho,"",9780062390622,hardcover,read,2026/01/27,"","",1,"",,"","","","","",4.75,"","","","",No
Vụ án,Franz Kafka,Lê Chu Cầu (Translator),9786046946762,paperback,currently-reading,2026/04/15,"","",0,"",,,,,,,,,"",,"",Yes
Hard Rain Falling,Don Carpenter,"",9781590173244,paperback,to-read,2026/04/10,"","",0,"",,,,,,,,,"",,"",No
Crime and Punishment,Fyodor Dostoevsky,David McDuff (Translator),9780140449136,paperback,read,2026/03/24,2026/04/03,2026/03/23-2026/04/03,1,"dark, sad, tense",medium,Character,Yes,It's complicated,Yes,It's complicated,5.0,"","","","",Yes
The Master and Margarita,Mikhail Bulgakov,"",9786043205480,hardcover,to-read,2026/03/17,"","",0,"",,,,,,,,,"",,"",Yes
The Book Thief,Markus Zusak,"",9780375831003,hardcover,to-read,2026/02/17,"","",0,"",,,,,,,,,"",,"",No
Gardens of the Moon,Steven Erikson,"",9781429926584,digital,read,2026/02/13,"","",1,"",,,,,,,,,"",,"",No
